📛4K·8K频道,#genre#
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RYAWWk&tk=smNdz6qOecOl
陕西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8HBIng&tk=smNdz6qOecOl
香港|凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=njZVvP&tk=smNdz6qOecOl
黄河卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xNrMFC&tk=smNdz6qOecOl
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bdJZ1g&tk=smNdz6qOecOl
💰央视付费频道,#genre#
CCTV2财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NYoi6N&tk=smNdz6qOecOl
CCTV3综艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sbjX0c&tk=smNdz6qOecOl
CCTV4国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GVrT2J&tk=smNdz6qOecOl
CCTV6电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9B1PfO&tk=smNdz6qOecOl
CCTV7军农,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ukZuED&tk=smNdz6qOecOl
CCTV8电视剧,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fi2BIL&tk=smNdz6qOecOl
CCTV9纪录,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=atFOBo&tk=smNdz6qOecOl
中国|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qTR4Yj&tk=smNdz6qOecOl
中国|CCTV-7 军事农业,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6x5AL8&tk=smNdz6qOecOl
中国|CCTV-8 电视剧 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mnRBj9&tk=smNdz6qOecOl
中国|CCTV-9 记录 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DAdHxL&tk=smNdz6qOecOl
中国|CCTV4 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Leb0RM&tk=smNdz6qOecOl
电影|CCTV-6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vx1E1s&tk=smNdz6qOecOl
风云剧场,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=My415p&tk=smNdz6qOecOl
风云足球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Lyhl1G&tk=smNdz6qOecOl
🚝福建频道,#genre#
中国|CCTV-1 综合 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0QmgKr&tk=smNdz6qOecOl
中国|CCTV-10 科教 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2iHT43&tk=smNdz6qOecOl
中国|CCTV-11 戏曲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wBAaES&tk=smNdz6qOecOl
中国|CCTV-12 社会与法,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=F01Le8&tk=smNdz6qOecOl
中国|CCTV-13 新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CKQEMz&tk=smNdz6qOecOl
中国|CCTV-14 少儿,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zVYb9t&tk=smNdz6qOecOl
中国|CCTV-15 音乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9iCVLJ&tk=smNdz6qOecOl
